資料日期,證券代號,持股分級,人數,股數,佔集保庫存數比例%
20180413,006204,3,16,130521,4.35
20180413,006204,4,2,26000,0.86
20180413,006204,5,3,55131,1.83
20180413,006204,6,3,84000,2.80
20180413,006204,7,0,0,0.00
20180413,006204,8,1,49000,1.63
20180413,006204,9,1,51000,1.70
20180413,006204,10,1,125000,4.16
20180413,006204,11,0,0,0.00
20180413,006204,12,0,0,0.00
20180413,006204,13,0,0,0.00
20180413,006204,14,1,943000,31.43
20180413,006204,15,1,1212951,40.43
20180413,006204,16,0,0,0.00
20180413,006204,17,312,3000000,100.00
20180413,006205,1,6473,2476111,0.52
20180413,006205,2,11426,25633371,5.46
20180413,006205,3,2482,20234144,4.31
20180413,006205,4,759,10049762,2.14
20180413,006205,5,656,12272206,2.61
20180413,006205,6,564,14857901,3.16
20180413,006205,7,293,10646867,2.27
20180413,006205,8,225,10705112,2.28
20180413,006205,9,411,29893214,6.37
20180413,006205,10,151,22013000,4.69
20180413,006205,11,56,15739621,3.35
20180413,006205,12,30,15322000,3.26
20180413,006205,13,12,8567000,1.82
20180413,006205,14,9,8373000,1.78
20180413,006205,15,48,262012691,55.89
20180413,006205,16,0,0,0.00
20180413,006205,17,23595,468796000,100.00
20180413,006206,1,1074,423504,0.22
20180413,006206,2,4714,10953485,5.89
20180413,006206,3,1125,9483616,5.10
20180413,006206,4,364,4776345,2.57
20180413,006206,5,294,5533264,2.97
20180413,006206,6,250,6659353,3.58
20180413,006206,7,129,4659153,2.50
20180413,006206,8,92,4361944,2.34
20180413,006206,9,184,13468252,7.24
20180413,006206,10,65,8850000,4.76
20180413,006206,11,31,9220000,4.96
20180413,006206,12,10,4848979,2.61
20180413,006206,13,2,1361000,0.73
20180413,006206,14,4,3658000,1.96
20180413,006206,15,17,97521105,52.49
20180413,006206,16,0,0,0.00
20180413,006206,17,8355,185778000,100.00
20180413,006207,1,113,33941,0.02
20180413,006207,2,3192,7624337,5.50
20180413,006207,3,885,7361225,5.31
20180413,006207,4,296,3912911,2.82
20180413,006207,5,254,4806807,3.47
20180413,006207,6,260,6695288,4.83
20180413,006207,7,129,4601509,3.32
20180413,006207,8,103,4825000,3.48
20180413,006207,9,191,14208575,10.26
20180413,006207,10,96,13858558,10.01
20180413,006207,11,43,11844000,8.55
20180413,006207,12,8,4037000,2.91
20180413,006207,13,4,2969000,2.14
20180413,006207,14,4,3875000,2.80
20180413,006207,15,13,47738849,34.49
20180413,006207,16,0,0,0.00
20180413,006207,17,5591,138392000,100.00
20180413,006208,1,2635,721363,3.13
20180413,006208,2,425,709641,3.08
20180413,006208,3,20,161226,0.69
20180413,006208,4,6,69188,0.30
20180413,006208,5,3,56000,0.24
20180413,006208,6,7,187000,0.81
20180413,006208,7,0,0,0.00
20180413,006208,8,0,0,0.00
20180413,006208,9,2,133582,0.57
20180413,006208,10,0,0,0.00
20180413,006208,11,0,0,0.00
20180413,006208,12,0,0,0.00
20180413,006208,13,0,0,0.00
20180413,006208,14,0,0,0.00
20180413,006208,15,1,21002000,91.15
20180413,006208,16,0,0,0.00
20180413,006208,17,3099,23040000,100.00
20180413,00625K,1,0,0,0.00
20180413,00625K,2,8,22000,4.62
20180413,00625K,3,0,0,0.00
20180413,00625K,4,1,13000,2.73
20180413,00625K,5,2,36000,7.56
20180413,00625K,6,1,28000,5.88
20180413,00625K,7,4,150000,31.51
20180413,00625K,8,0,0,0.00
20180413,00625K,9,1,77000,16.17
20180413,00625K,10,1,150000,31.51
20180413,00625K,11,0,0,0.00
20180413,00625K,12,0,0,0.00
20180413,00625K,13,0,0,0.00
20180413,00625K,14,0,0,0.00
20180413,00625K,15,0,0,0.00
20180413,00625K,16,0,0,0.00
20180413,00625K,17,18,476000,100.00
20180413,00631L,1,44,3509,0.01
20180413,00631L,2,1070,2390269,9.72
20180413,00631L,3,215,1791790,7.28
20180413,00631L,4,97,1299000,5.28
20180413,00631L,5,65,1230432,5.00
20180413,00631L,6,46,1204000,4.89
20180413,00631L,7,24,862000,3.50
20180413,00631L,8,15,714000,2.90
20180413,00631L,9,33,2496000,10.15
20180413,00631L,10,16,2259000,9.18
20180413,00631L,11,7,1798000,7.31
20180413,00631L,12,2,989000,4.02
20180413,00631L,13,2,1359000,5.52
20180413,00631L,14,1,953000,3.87
20180413,00631L,15,4,5236000,21.29
20180413,00631L,16,1,1000,0.00
20180413,00631L,17,1641,24584000,100.00
20180413,00632R,1,123,30994,0.00
20180413,00632R,2,17737,50296437,0.97
20180413,00632R,3,10035,84544891,1.63
20180413,00632R,4,4914,65179674,1.25
20180413,00632R,5,4967,93608271,1.80
20180413,00632R,6,5419,142866153,2.76
20180413,00632R,7,3442,125915103,2.43
20180413,00632R,8,2780,131021626,2.53
20180413,00632R,9,6331,468434426,9.05
20180413,00632R,10,3741,543681737,10.50
20180413,00632R,11,1929,544008050,10.51
20180413,00632R,12,583,289012138,5.58
20180413,00632R,13,243,170076000,3.28
20180413,00632R,14,146,133047000,2.57
20180413,00632R,15,363,2332426500,45.07
20180413,00632R,16,0,0,0.00
20180413,00632R,17,62753,5174149000,100.00
20180413,00633L,1,78,12568,0.00
20180413,00633L,2,7548,19217445,3.02
20180413,00633L,3,2876,23703599,3.73
20180413,00633L,4,1212,16011556,2.52
20180413,00633L,5,1070,20086265,3.16
20180413,00633L,6,1078,28111101,4.42
20180413,00633L,7,605,21914784,3.45
20180413,00633L,8,428,20020420,3.15
20180413,00633L,9,918,66705986,10.50
20180413,00633L,10,465,67518000,10.63
20180413,00633L,11,239,66993000,10.55
20180413,00633L,12,67,33411000,5.26
20180413,00633L,13,35,24762000,3.89
20180413,00633L,14,19,17386000,2.73
20180413,00633L,15,60,209104276,32.93
20180413,00633L,16,0,0,0.00
20180413,00633L,17,16698,634958000,100.00
20180413,00634R,1,30,4710,0.00
20180413,00634R,2,854,2180093,3.34
20180413,00634R,3,291,2461097,3.77
20180413,00634R,4,107,1435000,2.19
20180413,00634R,5,110,2072100,3.17
20180413,00634R,6,84,2213000,3.39
20180413,00634R,7,62,2287000,3.50
20180413,00634R,8,52,2421000,3.71
20180413,00634R,9,99,7532000,11.54
20180413,00634R,10,33,4842000,7.42
20180413,00634R,11,24,7145000,10.94
20180413,00634R,12,8,3873000,5.93
20180413,00634R,13,3,2015000,3.08
20180413,00634R,14,3,2755000,4.22
20180413,00634R,15,10,22020000,33.74
20180413,00634R,16,0,0,0.00
20180413,00634R,17,1770,65256000,100.00
20180413,00635U,1,165,53061,0.13
20180413,00635U,2,2193,4936137,12.49
20180413,00635U,3,430,3586553,9.07
20180413,00635U,4,124,1637011,4.14
20180413,00635U,5,112,2122566,5.37
20180413,00635U,6,93,2422000,6.12
20180413,00635U,7,38,1384000,3.50
20180413,00635U,8,39,1844000,4.66
20180413,00635U,9,63,4647000,11.76
20180413,00635U,10,28,3882000,9.82
20180413,00635U,11,14,3987672,10.09
20180413,00635U,12,1,500000,1.26
20180413,00635U,13,4,2973000,7.52
20180413,00635U,14,2,1841000,4.65
20180413,00635U,15,3,3698000,9.35
20180413,00635U,16,0,0,0.00
20180413,00635U,17,3309,39514000,100.00
20180413,00636,1,732,298739,0.05
20180413,00636,2,12896,32017670,5.62
20180413,00636,3,3653,30752986,5.40
20180413,00636,4,1166,15400050,2.70
20180413,00636,5,1057,19989349,3.51
20180413,00636,6,863,22724640,3.99
20180413,00636,7,423,15587999,2.73
20180413,00636,8,373,17844911,3.13
20180413,00636,9,480,35716200,6.27
20180413,00636,10,226,32383764,5.69
20180413,00636,11,104,30232000,5.31
20180413,00636,12,21,10304000,1.81
20180413,00636,13,15,10977988,1.92
20180413,00636,14,7,6657000,1.16
20180413,00636,15,39,288137704,50.63
20180413,00636,16,0,0,0.00
20180413,00636,17,22055,569025000,100.00
20180413,00636K,1,14,6600,3.43
20180413,00636K,2,9,16100,8.38
20180413,00636K,3,0,0,0.00
20180413,00636K,4,0,0,0.00
20180413,00636K,5,0,0,0.00
20180413,00636K,6,1,27500,14.31
20180413,00636K,7,0,0,0.00
20180413,00636K,8,2,89200,46.43
20180413,00636K,9,1,52700,27.43
20180413,00636K,10,0,0,0.00
20180413,00636K,11,0,0,0.00
20180413,00636K,12,0,0,0.00
20180413,00636K,13,0,0,0.00
20180413,00636K,14,0,0,0.00
20180413,00636K,15,0,0,0.00
20180413,00636K,16,0,0,0.00
20180413,00636K,17,27,192100,100.00
20180413,00637L,1,68,12281,0.00
20180413,00637L,2,12077,34132149,1.57
20180413,00637L,3,6190,51996806,2.40
20180413,00637L,4,2684,35541486,1.64
20180413,00637L,5,2601,49091574,2.27
20180413,00637L,6,2674,70665407,3.26
20180413,00637L,7,1539,56396377,2.60
20180413,00637L,8,1265,59772005,2.76
20180413,00637L,9,2723,201972738,9.34
20180413,00637L,10,1612,234810000,10.86
20180413,00637L,11,832,238873000,11.05
20180413,00637L,12,263,130660000,6.04
20180413,00637L,13,145,102220000,4.72
20180413,00637L,14,76,69799000,3.22
20180413,00637L,15,194,825663177,38.19
20180413,00637L,16,0,0,0.00
20180413,00637L,17,34943,2161606000,100.00
20180413,00638R,1,9,2000,0.02
20180413,00638R,2,241,571000,6.75
20180413,00638R,3,68,589000,6.97
20180413,00638R,4,15,206000,2.43
20180413,00638R,5,15,286000,3.38
20180413,00638R,6,22,562000,6.65
20180413,00638R,7,5,183000,2.16
20180413,00638R,8,10,469000,5.55
20180413,00638R,9,4,326000,3.85
20180413,00638R,10,4,478000,5.65
20180413,00638R,11,3,665000,7.87
20180413,00638R,12,2,1071000,12.67
20180413,00638R,13,0,0,0.00
20180413,00638R,14,0,0,0.00
20180413,00638R,15,2,3040000,35.98
20180413,00638R,16,0,0,0.00
20180413,00638R,17,400,8448000,100.00
20180413,00639,1,1407,601141,0.19
20180413,00639,2,6495,16555774,5.50
20180413,00639,3,2244,19287565,6.40
20180413,00639,4,767,10078494,3.34
20180413,00639,5,840,16143910,5.36
20180413,00639,6,672,18121485,6.02
20180413,00639,7,336,12486977,4.14
20180413,00639,8,276,13211071,4.39
20180413,00639,9,501,38916240,12.93
20180413,00639,10,225,33757198,11.21
20180413,00639,11,100,29285068,9.73
20180413,00639,12,30,14165000,4.70
20180413,00639,13,12,8539000,2.83
20180413,00639,14,6,5293081,1.75
20180413,00639,15,21,64460996,21.42
20180413,00639,16,0,0,0.00
20180413,00639,17,13932,300903000,100.00
20180413,00640L,1,11,450,0.00
20180413,00640L,2,451,1009550,5.48
20180413,00640L,3,112,931000,5.05
20180413,00640L,4,42,558000,3.02
20180413,00640L,5,34,657000,3.56
20180413,00640L,6,25,666000,3.61
20180413,00640L,7,17,608000,3.30
20180413,00640L,8,15,706000,3.83
20180413,00640L,9,13,1001000,5.43
20180413,00640L,10,6,886000,4.81
20180413,00640L,11,7,2130000,11.56
20180413,00640L,12,2,1003000,5.44
20180413,00640L,13,3,2117000,11.49
20180413,00640L,14,0,0,0.00
20180413,00640L,15,3,6146000,33.36
20180413,00640L,16,0,0,0.00
20180413,00640L,17,741,18419000,100.00
20180413,00641R,1,8,451,0.00
20180413,00641R,2,733,1931449,5.89
20180413,00641R,3,257,2142000,6.53
20180413,00641R,4,100,1333100,4.06
20180413,00641R,5,94,1752000,5.34
20180413,00641R,6,94,2494000,7.61
20180413,00641R,7,42,1522000,4.64
20180413,00641R,8,40,1873000,5.71
20180413,00641R,9,63,4768000,14.55
20180413,00641R,10,29,3963000,12.09
20180413,00641R,11,14,4035000,12.31
20180413,00641R,12,3,1701000,5.19
20180413,00641R,13,1,642000,1.95
20180413,00641R,14,0,0,0.00
20180413,00641R,15,3,4601000,14.04
20180413,00641R,16,0,0,0.00
20180413,00641R,17,1481,32758000,100.00
20180413,00642U,1,239,74035,0.08
20180413,00642U,2,3743,8603744,9.96
20180413,00642U,3,745,6309317,7.30
20180413,00642U,4,258,3425610,3.96
20180413,00642U,5,250,4784000,5.54
